name,address,birthdate,phone
Gabriel Hughes,46-1 156th St,1964-09-10,680-462-9674
Patrick Beard,32-12 146th St,1942-01-13,315-320-9681
Stacy Burnett,10 Bay 7th St,1977-08-06,315-806-0927
Michael House,4193C E Tremont Ave,1962-07-25,516-937-9933
Amanda Strong,716 W 175th St,1942-01-09,838-764-0017
Eric Larson,1333 SW Magnolia Rd,1970-10-07,225-463-2376
Lisa Weiss,2864 Park St NW,1988-04-22,864-614-6912
Marcus Roberts,1319 E 69th St,1969-07-05,838-235-2409
Ronald Reid II,44-15 20th Rd,1949-07-29,585-351-1277
Micheal White,3229 N Oak St,1982-04-01,918-580-0960
Bobby Costa,280 E Tremont Ave,1992-12-02,914-671-3630
Anna Lewis,1546 8th Rd,1988-09-25,521-204-5658
Ryan Patton,66-43 Gray St,1990-09-26,838-911-4728
Jennifer Mccann,224-13 130th Ave,1990-09-24,585-538-5271
Bryan Chapman IV,310 W 118th St,1966-11-16,516-648-4810
Kayla Deleon,4077 NE Pine Ave,1957-05-05,510-899-6986
Eric Contreras,1449B St Nicholas Ave,2000-04-10,315-927-5565
Collin Kemp,31-60 77th St,1977-12-13,315-619-7898
Natalie Ball,1695 N Park Dr,1999-07-08,507-223-3706
Rebecca Jones,6827½ Amboy Rd,1963-01-21,929-632-1748
Brandon Bell,94-2 134th Rd,1960-09-27,585-669-3726
Brenda Gomez,149-80 22nd Ave,1975-06-21,315-459-6223
Michael Davidson Jr.,473A E 115th St,1972-01-31,680-544-3727
Shawn Green,1353 Park Ave,1984-10-20,408-636-2970
Alicia Brewer,4238B White Plains Rd,1990-12-31,516-883-2480
Michael Sparks,76 W 120th St,1948-05-10,838-397-3486
Roger Manning,214 E 22nd St,1966-07-22,347-640-0882
Derek Garcia,1297 2nd St,1993-02-23,771-599-1655
Earl Johnson,4197 NE Cedar Ln,1999-07-26,816-780-8595
Sara Estrada,401 SW Maple Rd,1987-05-10,412-866-2231
Eric Cox Jr.,341A E 84th St,1970-08-14,585-262-8745
James Miller,2 Banes Ct,1981-05-26,347-840-4609
Richard Woodard,4768 Apache Pl NE,1984-12-26,928-485-1081
Sergio Davis,164 W 94th St,2001-04-20,585-297-4734
Alejandro Kline,411 E 13th Pl,1961-03-06,929-869-1115
Christopher White,91-27 91st Ave,1981-12-24,315-479-8552
Elizabeth Krystal Green,4609 NW Maple Ln,1974-08-20,616-939-1904
Jonathan Davis,1227A Myrtle Ave,1956-09-21,631-615-3495
Chad Anderson,214A Jewett Ave,1993-12-05,516-490-3886
Kelly Mcdaniel,838A E 51st St,1977-08-22,838-952-4475
Aaron Washington,115 28th Ave,1965-02-28,917-395-0097
Jonathan Green,29-66 Mott Ave,1988-05-11,516-784-6065
Michael Hall,265A Malcolm X Blvd,1980-07-15,607-607-7349
Isaac Brown,147-27 111th Ave,1957-12-31,585-236-2623
Jason Graham,144-8 Ferndale Ave,1982-07-25,716-655-3571
Derek Khan,96-4 99th Ave,1941-01-17,315-461-8033
Craig Larsen,1648 Forest Ave,1988-10-28,315-957-8121
Sarah Hayes,1231B E Tremont Ave,1954-11-23,212-865-8166
Catherine Tucker,1401A Watson Ave,1987-07-19,838-820-9631
Gloria Hays,186-21 42nd Ave,1981-04-17,516-480-2457
Nicholas Lewis,456A Pulaski St,1951-09-12,315-844-1544
Jason Smith,155 Louisiana Ave,1973-06-23,914-772-5483
Emily Cox,3236 Cypress Ave,1960-12-31,619-802-6248
James Gomez,235-23 Jamaica Ave,1984-11-30,607-360-1759
Matthew Flores,3845 Oak Rd NE,1987-07-29,530-400-3521
Erika Berry,4808 Park St,1974-11-19,747-458-0870
Crystal Bennett,313 S 4th St,2000-02-07,516-693-8522
Timothy Keller,53-43 Junction Blvd,1942-01-22,838-469-6286
Anthony Carter,4883 Park Dr E,1989-07-28,636-898-2163
Cody Davis Jr.,702B E 149th St,1998-09-07,315-508-1692
Jasmine Webb,2397 Grand Ave,1966-08-18,516-607-6261
Kenneth Huang,2690 6th Way,1963-06-27,564-806-5693
Kendra Hicks,553T E 181st St,1968-03-08,516-949-0100
Courtney Klein,198 Falmouth St,1962-11-03,917-765-9154
Leslie Ford,11-11 College Point Blvd,1984-03-26,516-774-0392
Elizabeth Johnson,197-59 115th Rd,1979-08-07,585-391-8914
Kevin Rubio Jr.,274A E 2nd St,1988-02-07,631-441-6701
Tara Glass,33-33 96th St,1958-03-19,315-983-7528
Carmen Mcguire,125 Beach 69th St,1995-09-11,212-851-8789
Monique Bell,7175 Shore Rd,1942-06-10,914-902-6402
Carolyn Torres,3840 88th Pl N,1973-02-10,941-385-1846
James Hester,4872 3rd Ave NE,1937-08-01,334-623-8823
Michael Johnson,797A Columbus Ave,1997-11-25,516-956-6032
Anna Nicole Lopez,39A Somers St,1944-10-02,516-458-9575
Susan Mills,4951 1st Ln S,1994-08-01,347-508-2669
Teresa Olsen,161½ E 7th St,1987-01-29,516-474-3461
Brooke Ford,14-31 209th St,1997-11-23,631-756-9750
Annette Bell,95 Bay 41st St,1984-04-14,718-637-9936
Bradley Andrews Jr.,1268B Morris Ave,1996-11-23,716-895-3456
Matthew Jenkins,2069 Pacific St,1983-11-11,838-632-2793
Daniel Glass,89-33 Woodhaven Blvd,1948-06-17,914-638-9152
Bryan Bishop,2318 Vance St,1994-11-03,914-935-8264
Tina Jimenez,109 W 119th St,1957-09-20,516-757-4897
John Rhodes,45-22 41st St,1990-03-22,914-316-8480
Brian Cook,4707 SE 8th Ave,1969-02-23,480-337-6425
Chelsea Brown,3142A Pearsall Ave,1982-09-21,631-530-5811
Carol Barr,95-50 91st Ave,1958-09-26,516-407-1871
Aaron Gutierrez Jr.,245A Kingsland Ave,1993-03-23,680-432-9418
Nick Wade,2931 SW Maple Way,1950-10-18,463-806-4704
Donna Lewis,1146 Oak Rd SW,1993-08-20,661-495-1953
Maurice Powell,81-53 102nd Rd,1953-01-09,585-549-6496
James Petersen,423 W 41st St,1985-06-21,212-709-1204
James Bright,1461 8th Ln,1988-02-02,813-620-1142
Adam Fuller,651 SE 6th Rd,1995-07-09,845-605-8200
Timothy Anderson,31-53 Farrington St,1968-02-04,315-674-4062
April Reyes,1634 Bathgate Ave,1964-07-26,914-339-2088
Kristina Mcdaniel,186 Admiral Ln,1937-10-28,838-471-7069
Carl Owens,1943 SW 7th Dr,1952-07-24,938-416-9932
Nick Pope,105-83 165th St,1973-10-27,914-758-9327
Michael Herman,4517 Oak Dr SW,1957-08-28,585-285-3801
Kevin Richardson,229-2 Hillside Ave,1957-08-29,631-338-6625
Jennifer Kane,309 E 134th St,1947-03-31,516-264-5293
Heather Mary Burch,48-4 Vernon Blvd,1972-01-13,332-436-2085
Travis Jones Jr.,785 Hemlock St,1967-05-30,716-379-9215
Kathy Phillips,845 Courtlandt Ave,1990-01-14,914-774-7519
Shannon Odom,145A Weldon St,1979-04-05,680-603-6610
Jeffrey Robinson,1543 Taylor Ave,1958-08-05,315-709-3124
William Nguyen Jr.,34-20 Linneaus Pl,1981-07-12,646-843-9795
Kimberly Adams,204 Heyward St,1976-02-13,845-733-1054
Catherine Davis,151-11 85th Dr,1958-03-15,914-831-8752
Timothy Fox,185-38 Ilion Ave,1966-05-26,607-749-5875
Patricia Phillips,23 Duryea Pl,1954-11-03,516-726-9115
Valerie Lewis,3711 Main Ln S,1983-10-23,801-512-3433
Brittany Barber,426A E 118th St,1952-05-02,315-248-5872
Amber Brown,581 4th Way,1978-09-10,682-931-2182
Angela Ramirez,106-51 68th Dr,1983-02-02,914-476-3424
Michael Cochran,74-47 Broadway,1986-01-15,838-691-1470
Joshua Burnett,3363 E Park Rd,1985-11-27,530-424-8499
Patricia Shaw,141F Main St,1966-11-26,838-985-2627
Christopher Gibson,35½ Olive St,1960-12-26,914-911-5364
Brittany Schneider,46-53 Springfield Blvd,1989-10-08,516-714-5853
Jesse Conner,2830A Frederick Douglass Blvd,1960-06-20,516-953-3528
Shannon Petersen,20-55 48th St,1954-06-11,631-878-8330
Edward Le,1249 S Park Dr,1980-05-08,708-519-5448
Nathaniel Gomez III,48-17 215th St,1999-04-24,516-375-2032
Michele Carter,4136 Church Ln,1985-01-17,912-388-3302
Emily Simmons,104-6 122nd St,1953-08-22,631-951-8891
Nick Anderson,394 63rd St,1990-10-30,585-977-4828
Dalton Williams,130-26 160th St,1964-10-17,934-614-3834
Teresa Willis,270-1 Willow Rd E,1959-06-30,914-215-1018
Eric Nguyen,2406 Dorsey St,1993-10-19,838-912-0830
Brenda Li,3790 Park Ln W,1975-09-17,707-587-0143
Richard Young,750 Revere Ave,1966-01-08,516-272-1142
Richard Santana,104-67 128th St,1966-09-28,315-644-4339
Christina Darlene Rhodes,3553 SW Apache Dr,1992-08-04,928-860-5935
Tiffany Shah,45A W 131st St,1979-08-01,516-272-9359
Kimberly Cortez,40-50 38th St,1992-03-07,516-306-0893
Rachel Garner,48-13 Seagirt Blvd,1965-07-18,716-320-2187
John Ramirez,379A E 149th St,1991-08-19,516-279-1757
Tyler Wright Jr.,3932 Park Dr NW,1955-11-14,702-593-0853
Kurt Walker,349 W 45th St,1952-10-30,929-234-9513
Brittany Jones,137-81 41st Ave,2000-06-02,585-643-4492
Heather Huber,2729A W 16th St,1963-02-16,516-442-9259
Michele Thompson,3211 Park Rd,1954-09-30,614-337-5381
Jon Anderson,37A Ave B,1955-02-04,716-956-0947
Katie Evans,269 W 127th St,1976-08-27,315-582-7743
Paul Sanchez,631 Park Ave,1943-03-14,682-220-2495
Eric Johnson,1745 Main Ln SE,1973-08-04,435-924-6367
Sean Mckee,1219B 43rd St,1943-05-06,716-313-4809
Richard Osborn,526 Court St,1965-09-11,585-821-1153
Michelle Villegas,159½ Clifton Pl,1972-02-14,347-424-7254
Zachary Walsh,551B Prospect Ave,1987-09-09,516-460-9740
David Hendrix,79-26 64th Ln,1946-03-31,585-905-2960
Matthew Kelley,3879 Ely Ave,1983-06-16,680-683-0110
Christopher Gomez,3221A Beverley Rd,1957-10-21,516-937-7164
Lisa Sarah Johnson,1527 W 21st Pl,1993-02-18,772-294-9932
Anna Flores,3384 Park Pl SE,1946-07-02,279-385-8937
Tammy Williams,258A Vanderbilt Ave,1964-11-19,585-822-2270
Luis Davis,3231 Park St,1992-07-10,682-386-0982
Tracey Wilcox,2870 Park Way,1946-04-12,279-541-3750
John Mercado,36-38 22nd St,1990-04-22,332-578-1033
Keith Aguirre Jr.,8718 16th Ave,1948-07-05,315-771-2526
Jacob Ward,4439 6th Rd SW,1991-12-11,771-414-0392
Hannah Harris,47-39 100th St,1950-01-09,315-767-0477
Chad Estrada,2 Grand Ave,1952-07-18,917-266-5001
Charles Edwards,2817 Park Dr,1959-06-07,432-630-8837
Tammy Mcmillan,1502 5th Ave,1995-03-03,307-548-8202
Christine Bartlett,2462 8th Pl S,1988-10-26,551-634-6197
Tracy Gonzalez,53-54 98th Pl,1990-10-14,585-748-6331
Melissa Smith,93 W Fordham Rd,1963-04-26,585-213-3426
John Cooper,327 Rear E 109th St,1978-01-14,838-485-6179
Steven Johnson,4415 Ave H,1968-01-08,838-825-9055
Thomas Pham,122-12 Atlantic Ave,1961-05-09,332-660-5935
Brian Mills,1508 SW Maple Dr,1961-11-07,517-451-6419
Mary Michelle Parsons,4076 SE Park Pl,1962-09-13,279-279-7945
Lori Davis,472 Vanderbilt St,1990-04-25,838-384-9199
Evan Rice,135A Bleecker St,1991-03-10,347-306-2941
Daniel Mathews,766 Argyle Rd,1963-02-13,585-401-9534
Robert Crawford,4599 Park Dr W,1965-09-02,845-471-3075
Veronica Ward,526 Senator St,1961-03-21,838-977-5656
Virginia Graham,475A Main St,1987-06-17,585-345-0811
George Hoffman,1556 Park Ln NW,1952-05-01,812-589-0218
Angela Hernandez,456 Park St N,1953-04-11,425-742-7463
Christy Collins,200-43 46th Rd,1980-04-26,585-448-2358
Michael Aguilar,12 W 172nd St,1955-11-24,516-216-8217
Dana White,65½ Frost St,1949-10-15,838-877-4591
Travis Sanchez,1536 Oak Ln,1944-01-02,530-880-0120
Andrea Farley,807 Ave U,1970-07-06,934-771-2979
Ian Smith,994 Rear 62nd St,1975-06-17,631-317-1189
Lisa Hill,16 Bowery,1970-04-15,607-631-3264
John Mejia Jr.,4804 SE Laurel Ave,1990-12-07,774-291-9803
Holly Willis,138 Bay 34th St,1970-11-16,212-360-2280
Richard Robinson,4833 SE Park Pl,1963-11-05,516-394-5396
Robert Roberts,264-5 Langston Ave,1969-10-22,838-536-1550
Andrew Crawford,312B Westervelt Ave,1936-02-21,315-249-7777
Nicole Hansen,2137 Hickory Rd,1997-09-22,224-224-6928
Robert Anderson,54C E Broadway,1966-02-02,631-792-4248
Krystal Megan Eaton,1 East River Pl,1968-08-14,838-563-9044
Laura Lisa Powell,1646B Watson Ave,1944-07-12,914-604-5683
Raymond Young,106-39 171st Pl,1972-12-11,516-993-9382
David Anderson,1582 Ralph Ave,1961-07-20,516-790-9291
Suzanne Holloway,1993 SE Park Dr,1983-09-19,726-463-0627
Cynthia Hartman,2656A Broadway,1973-04-05,516-844-1534
Tanya Cannon,2021 62nd St,1950-08-05,516-906-8375
Jessica Jones,4532 N 9th Ave,1956-08-05,704-954-3207
Autumn Costa,143 Columbia Hts,1980-07-25,315-910-7669
Michael Estrada,97-36 Metropolitan Ave,1979-09-26,332-720-2670
Logan Miller,189A Maryland Ave,1948-06-25,516-821-4924
Jennifer Hernandez,394 Douglass St,1951-09-27,646-396-8439
John Patel,599 W 156th St,1954-10-30,838-427-5584
Samantha Powell,55-18 Parsons Blvd,1969-08-12,914-984-4276
Caroline Aguilar,1534 Linden Blvd,1967-02-21,914-322-5570
Laura Jones,1108 W Park Way,1955-08-09,702-570-2360
Lauren Dixon,135 Gar E 115th St,1946-11-20,631-911-7670
Joseph Thompson,93-26 215th Pl,1991-10-18,917-761-8843
Linda Wallace,3009 Heath Ave,1950-11-26,680-479-0845
Autumn Le,77 Darnell Ln,1986-04-24,838-259-8431
Stacy Miles,93A E 13th St,1996-01-27,680-312-0661
James Reese,62 Stanley Circle,1958-08-23,516-340-2123
Lacey Murphy,4757 9th Rd,1953-11-20,710-449-6550
John Harris,34-7 89th St,1953-02-03,838-264-1290
Maria Estrada,97-37 Seagirt Blvd,1977-06-29,914-373-0616
Tiffany Murray,495A E 186th St,1977-06-08,315-211-8312
Daniel Cruz,380 E 102nd St,1983-08-25,585-952-5114
Rebecca Flores,64 Wadsworth Ave,1972-11-24,680-971-6747
Ronald Walker Jr.,1440 SE Maple Ln,2000-08-31,445-973-0262
Victoria Goodman,78-41 252nd St,1965-03-05,585-520-4479
Rick Richards,2881A Broadway,1999-05-31,315-483-3852
Caitlin Welch,1104 Rear 62nd St,1989-07-30,315-449-0109
Alison Williams,3205 Broadway,1992-10-03,315-696-5631
Kristin Gonzalez,117 Long Pond Ln,1958-07-21,838-991-5267
Sarah Mcdaniel,135-10 Hoover Ave,1964-04-22,680-759-1106
Todd Flores,33-65 100th St,1948-01-03,516-576-9323
John Bennett,166-50 69th Ave,1986-11-20,838-842-9608
Nancy Baker,247 Hooper St,1993-05-30,516-769-1249
Matthew Wilson,17 Highlawn Ave,1961-10-26,516-834-2444
Benjamin Robles,4994 NE Park Dr,1976-01-01,515-843-4216
Dawn Alvarez,170 W 88th St,1992-01-28,838-374-2844
Jason Benton,249-17 61st Ave,1998-12-17,917-959-2044
Darrell Miles,312 Gar Jersey St,1969-08-08,315-491-0541
Dustin Hernandez,59B W 44th St,1967-07-28,516-553-2236
Hannah Jones,103-60 53rd Ave,1997-01-23,516-625-4260
Joseph Robertson,410 Riga St,1951-12-12,680-683-8634
Savannah Gonzalez,4316 SW Magnolia Dr,1944-06-21,985-210-8657
Brian Valencia,2722B Bainbridge Ave,1997-05-12,347-616-7406
Wanda Miller,87-46 160th St,1969-10-01,315-937-2738
Nicholas Madden,182B Beach 91st St,1971-02-03,516-307-9898
Roberto Brooks,81A Wyckoff Ave,1956-11-17,347-515-9391
Michelle Chambers,156½ W 16th St,1941-02-26,716-284-8206
Leslie Alvarez,3597 N Park Ln,1981-02-23,726-341-8026
Jason Krueger,181 Henry St,1992-04-05,585-324-3312
Scott Coleman,1628B St Nicholas Ave,1961-12-12,838-610-5578
Kristen Mooney,9-8 College Point Blvd,1955-07-13,631-264-8215
Beth Sanders,126B E 2nd St,1956-10-08,914-243-1048
Ryan Monroe,85-31 102nd Rd,1962-02-14,914-451-6899
Steven Ruiz,3125 N Park Rd,1984-08-17,279-872-6916
Elizabeth Morrow,123D Main St,1957-11-10,838-483-4899
Erin Munoz,115-9 169th St,1957-09-21,315-772-4687
Brandon Reynolds,2051 Park Way SW,1972-02-11,325-594-9276
Jessica Woodard,28A Broun Pl,1971-07-15,917-328-0838
Emily Hunt,107-6 Spa Pl,1959-03-09,585-873-1686
Angela Anderson,1513A Taylor Ave,1993-11-17,914-343-3188
Austin Smith,322 Park Ave N,1945-05-05,212-320-9323
Roger Morris,101 Jay St,1976-02-13,838-749-2296
Christopher Davis,239½ E 7th St,1980-06-19,680-443-8413
Jonathan Schneider Jr.,969 Park Dr,1958-02-04,341-425-8176
Kevin Davis,214A Cortelyou Ave,1991-05-02,516-796-0957
Adrian Moore,144-11 Ferndale Ave,1954-05-29,516-958-2933
Cristina Hancock,53 Fulton St,1945-04-07,716-942-4997
Karen Simpson,2735 Park Way NE,1987-11-15,838-354-9280
Joseph Chavez,168-19 43rd Ave,1989-10-22,332-404-5406
Raymond Anderson,4678 Maple Ave,1972-05-28,616-669-1077
Gary Sanders,278A W 131st St,1952-10-03,516-882-1844
Michelle Gutierrez,280A Skillman Ave,1952-05-27,516-724-5610
Sheena Burke,617 Lafayette Ave,1952-01-23,838-731-6529
Michelle Lisa Stevenson,226-18 146th Ave,1959-03-18,516-974-7250
Paul Cruz,474 Madison Ave,1945-03-08,646-390-7203
Anthony Nguyen,6556 3rd Ave,1970-08-19,838-497-7193
Brandon Hale,2685A Broadway,1961-04-02,212-294-1870
Blake Proctor,166 Midwood St,1970-08-15,646-854-7255
Debra Grimes,4998 Park Rd,1971-04-01,619-822-0980
Michael Murray Jr.,1962A Newkirk Ave,1975-10-16,838-993-0175
Jennifer Daniels,233 Glenmore Ave,1943-04-11,315-267-4103
Natasha Chan,1 Poly Prep Dr,1957-12-10,838-585-6312
Nicole Bright,2258 E Dogwood St,1971-06-01,251-293-1745
Yvonne Cook,2264 Cincinnatus Ave,1981-07-30,516-799-9851
Michael Johnson,2524 Hubbard St,1962-05-06,716-643-9714
Arthur Randolph,158-32 84th St,1944-01-14,516-815-4618
Dan King,350 NE Park Dr,1988-08-17,614-590-5941
Jose Gallagher,327 E 84th St,1985-07-11,716-487-1517
Tara Robinson,58-29 69th Ave,2001-04-21,585-310-6860
Antonio Reed,3171 Barker Ave,1981-05-18,838-921-0012
Kelly Tracey Simpson,343 E 23rd St,1958-11-04,914-356-4310
James Johnston,2078B Haring St,1993-03-25,838-452-6874
Morgan Colon,4730 4th Pl,1954-04-22,959-779-4708
Michael Wilson,460 New York Ave,1969-02-18,332-966-6530
Shawna Davis,86-9 Rockaway Beach Blvd,1972-08-12,516-956-7014
Jeff Martinez,134A 2nd Ave,1992-04-16,315-569-4027
Adam Nolan,3633 NE 5th Dr,1952-02-29,218-993-7431
Katrina Monica Mills,155-8 45th Ave,1997-12-19,315-512-1185
Michael Riddle Jr.,4 Southgate Ct,1983-11-03,838-689-0147
Brandon Pope,246½ Norman Ave,1965-08-07,716-232-0156
Mariah Tanya Miller,906 Park Pl,1957-02-10,402-332-2328
Ellen Summers,354A Senator St,1953-01-31,585-668-2452
Mike Williams,221-12 147th Ave,1987-01-10,585-662-4824
Deanna Jimenez,168-43 73rd Ave,1985-10-29,315-692-9878
Nicole Dunn,40 Dictum Ct,1965-07-23,212-500-9622
Christina Dawn Fields,15A Polhemus Pl,1956-07-21,315-943-1490
Miguel Lane,1977 Cortelyou Rd,1999-03-28,585-676-0986
Melissa Gray,1093 Amsterdam Ave,1969-01-10,315-824-9802
Lawrence Bowers,205A E Broadway,1982-04-19,838-780-2167
Kathleen Mckinney,1081 Woodycrest Ave,1953-01-08,516-661-6403
Kyle Rogers,71-32 Vleigh Pl,1997-05-12,607-433-9354
Ryan Ruiz,300 Beaver Pl,1987-11-06,516-473-0496
Derek Knight,110-64 Queens Blvd,1968-11-09,516-695-2304
Jennifer Robinson,53A W 71st St,1958-01-11,585-320-4718
Justin Sutton,1546A Bath Ave,1964-05-29,845-706-3221
Jacqueline Barker,130-59 26th Ave,1998-03-12,347-510-5756
Brandon Bryant,1353 72nd St,1957-07-24,347-631-9938
Karen Harper,615 E 77th St,1995-03-08,838-593-5661
Douglas Olson,3 Herkimer Ct,1953-10-30,838-885-1274
Cameron Lin,34A W 47th St,1948-12-26,315-907-3308
Nicole Rivas,141-66 72nd Crescent,1944-02-16,838-808-6672
Ryan Harris,310 Pulaski St,1998-04-13,680-526-4628
Emily Gray,2549 SE Park Pl,1967-09-10,838-695-3912
Ricky Hart,687 92nd St,1993-11-05,914-446-2531
Jennifer Rios,14 Fayette St,1984-10-03,516-516-5527
Bianca West,699 E 220th St,1972-10-20,914-846-8331
Nicholas Jenkins,2264 Cincinnatus Ave,1986-08-11,516-842-7481
Eric Reynolds,106A W 57th St,1965-10-01,315-996-8029
Brandy Wong,724B E Gun Hill Rd,1951-02-16,585-480-7148
William Callahan,737 E 232nd St,1972-01-02,934-869-5994
Jeremy Vazquez,759 W 13th Dr,1984-06-19,754-781-3404
Connor Johnson,2736B Briggs Ave,1988-08-22,315-550-2632
Derrick Villanueva Jr.,804A E 12th St,1987-12-03,838-699-3997
Joel Nicholson,1714 3rd Ave,1997-06-06,646-216-3537
Lisa Davidson,2552 Sunset Way,1973-11-05,747-307-0982
Anthony Bowers,1120 Blake Ave,1991-01-10,914-624-1166
Brian Klein,2141 89th Ave,1968-07-04,305-391-3341
Charles Blevins,63 Ryerson St,1977-12-23,585-383-2718
Melissa Reese,659½ Hart St,1962-02-13,516-696-9006
Leah Fowler,4985 NW Park Ave,1969-02-13,315-276-0805
Sara Miller,2464 8th St,1939-11-29,806-288-5299
Douglas Hill,355 Livingston St,1973-02-11,516-351-7559
Michael Murray,4467 SW 5th St,1952-05-09,678-415-4193
Marcia Wong,577 2nd St,1963-08-09,516-357-3270
Alicia Floyd,34-62 89th St,1954-10-12,516-729-6480
Nancy Smith,267½ St Marys Ave,1995-04-06,516-687-7128
Brad Hall Jr.,109 Park Pl,1982-10-21,516-426-4340
Ronald Castillo,418 Herkimer St,2001-02-05,838-986-2297
Chelsea Gill,118-16 Newport Ave,1963-11-20,585-807-3956
Anthony Torres,360 W 207th St,1980-03-27,332-603-2058
Rachel Curry,482 Herkimer St,1959-04-27,716-921-3173
Michael Sullivan,2029 E 12th St,1962-01-23,516-768-4036
Erin Chavez,82-32 54th Ave,1993-06-22,680-657-8027
Emily Walker,307 E Broadway,1953-02-09,315-382-0956
Rodney Velez,121 Eastern Pkwy,1959-06-30,838-416-6030
Mike Russo,2183 S 6th Rd,1993-07-28,603-351-7717
Kerri Williamson,4008 79th Ln N,1959-01-08,561-713-4577
Patrick Rice,220-20 Murdock Ave,1959-03-16,585-242-2808
Shelby Lucero,132 Ross St,1963-08-25,315-823-0591
Dawn Blair,365 Nugent Ave,1955-07-13,838-699-0989
Kirk Chambers,21½ W 131st St,1968-08-18,516-715-1570
Margaret Le,21 Gabriel Dr,1990-08-20,516-263-1055
Shannon Davis,4374 E 84th Ave,1967-05-25,521-365-1648
Katie Edwards,2617 University Ave,1991-09-10,716-624-8961
Kelly Webb,64 Rear Clinton Ave,1976-09-17,347-604-2658
Sarah Fisher,61A Vanderbilt Ave,1969-02-17,516-762-3210
Wendy Mendoza,154 Rolling Hill Green,1996-10-10,631-226-1551
Sherri Jimenez,93-6 50th Ave,1985-07-06,631-754-9726
James Owens,356 Ilyssa Way,1968-08-20,585-516-8564
Mark Robinson,4802 Park Rd,1982-08-10,279-628-2939
Arthur Brown,133A Amity St,1985-09-07,680-302-9792
Daniel Martinez,677B E 149th St,1968-06-15,838-684-7296
Nathan Wheeler,173A Woodbine St,1955-10-10,838-605-8032
Lori Richardson,1323 Ave J,1954-10-26,631-599-0504
Scott Cummings,463 Park Pl NE,1960-05-20,469-668-5324
Logan Robinson,4202 S Maple Ln,1992-07-02,445-372-3372
Darlene Rogers,982 Franklin D Roosevelt Dr,1960-08-31,838-340-0567
Katrina Sawyer,143 Charles Ave,1985-09-26,315-554-3164
Justin Fowler,82-59 54th Ave,1951-02-05,917-887-9314
Bobby Williams,3468 8th St,1980-07-24,656-656-0455
Michele Davis,78-75 Commonwealth Blvd,1991-05-05,838-729-0746
Aaron Baldwin,60 Central Park S,1993-06-19,516-265-1912
Rebecca Martinez,635B W 57th St,1955-06-10,516-555-1911
Jacob Roberts,592 Quincy St,1986-12-22,516-756-3486
Dylan Watkins,867A E 149th St,1998-04-22,716-611-1224
Darryl Pearson,168 E 8th St,1964-10-24,716-219-9584
Daryl Davies,121-36 Centreville St,1945-05-13,518-531-0082
Matthew Stewart,2108 Bergen St,1965-08-08,516-500-9502
Heidi Miller,3370 NW Dogwood Rd,1997-05-17,912-204-0766
Nicholas Smith,1562 Maple Rd SE,1993-11-20,681-791-8880
Mark Anderson,98-10 Allendale St,1947-01-06,516-403-6206
Jonathan Gross,374 N Oak Rd,1984-03-30,539-321-4064
Joseph Hutchinson,755A Ocean Ave,2000-08-27,838-251-8601
Kimberly Leah Bowman,1867 Park Ln NE,1952-10-13,774-528-5031
Amanda Melissa Franco,130-19 102nd Ave,1961-12-13,838-955-1210
Maria Walsh,4235 10th Rd NW,1964-05-18,612-646-4605
Melissa Herrera,66 Hanson Pl,1994-06-29,315-972-9768
Monica Johnson,1831A Monroe Ave,1984-02-28,315-844-0219
Andrew Ellis,3315 Newkirk Ave,2001-02-11,838-228-5842
Mary Gonzales,115-16 101st St,1952-09-06,914-978-0938
Leslie Maldonado,148-85 41st Ave,1984-01-31,914-683-1273
John Valentine,3097A Cruger Ave,1955-05-26,914-423-0318
Christopher Alvarez,471B Gower St,1950-09-08,516-232-0005
Alan Cruz,784A Columbus Ave,1985-05-17,585-250-4742
Isaiah Cruz,134½ Ludlow St,1982-10-31,838-423-9202
Joshua Waters,4227 Park Rd,1945-06-27,940-741-5320
George Webster,1590 Elm Ave,1968-01-20,631-662-4967
Margaret Smith,196-6 42nd Rd,1979-07-09,680-204-5246
Joyce Nichols,112A Willow St,1969-11-03,838-402-1985
Ashley Carla Copeland,245T E 181st St,1946-06-01,934-792-5605
Allen Barrett,1295 Findlay Ave,1970-07-24,838-698-5698
Kelsey Owens,1947 7th Dr SE,1969-03-24,332-880-6458
Claudia Garcia,45 Delancey St,2000-01-13,838-208-0605
Melissa Green,4988 SW 56th Dr,1989-01-29,771-665-5249
Brandon Simmons,185-58 80th Dr,1962-12-05,585-888-8673
Rebecca Hernandez,3777 Park Rd SE,1970-10-20,708-905-9570
Alfred Melendez,2326 Park Ln W,1972-03-24,315-811-9166
Priscilla Cox,85-16 214th St,1946-11-21,585-232-6711
Michael Vaughan,209 Central Park S,1954-03-08,838-503-8609
Phillip Ingram,2805S Valentine Ave,1969-07-14,347-551-6119
Beverly Marilyn Arroyo,1607 St Nicholas Ave,1968-04-17,631-676-5601
Jason Jensen Jr.,1437B St Nicholas Ave,1987-12-12,315-624-7644
George Macias,2731 Wickham Ave,2001-01-13,516-522-8741
Zachary Garcia II,52 E 96th St,1962-06-12,607-755-2611
Erik Davis,126-9 116th Ave,1947-06-16,607-387-6087
Travis Fitzpatrick,4133 10th St,2001-02-02,817-218-6208
Brendan Anderson,1448 Oak Rd,1963-06-18,659-434-8403
Jimmy Mann,2347 NW 5th Dr,1992-07-19,405-450-9552
